L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
'chuile,/ˈxɪlʲə/,Alternative form of gach uile,,
'sé,/ʃeː/,"Contraction of is é (“it is, he is”).
1894 March 1,  Peadar Mac Fionnlaoigh,  “An rí nach robh le fagháil bháis”, in  Irisleabhar na Gaedhilge, volume 1:5, Dublin: Gaelic Union, pages 185–88:’Sé dubhairt sí leis an tiománach​—​“Stad do chuid déanamh grinn ⁊ magaidh ormsa.”It is what she said to the driver: “Leave off your merry-making and don’t be mocking me.”",,
'spáin,/spˠɑːnʲ/,Cois Fharraige form of taispeáin,,
'un,/ənˠ/,Contraction of chun.,,
'ur,/uːɾˠ/,Munster and Connacht form of bhur,,
a,/ə/,"his, its, a athair agus a mháthair ― his father and",,
a,/ə/,"her, its, a hathair agus a máthair ― her father and",,
a,/ə/,"their, a n-athair agus a máthair ― their father and",,
a,/ə/,"how (used with an abstract noun), A ghéire a labhair",,
a,/ə/,"introduces a direct relative clause, takes the independent",,
a,/ə/,"introduces an indirect relative clause, an bord a raibh",,
a,/ə/,"all that, whatever, Sin a bhfuil ann.That's all that",,
a,/ə/,"introduces a vocative, A Dhia!O God!, A dhuine uasail!Sir!,",,
a,/ə/,"introduces a numeral, a haon, a dó, a trí... ― one,",,
a,/ə/,"to (used with verbal nouns), síol a chur ― to sow seed,",,
a,/ə/,"introduces a direct relative clause, takes the independent",,
a,/ə/,"introduces an indirect relative clause, an bord a raibh",,
a,/ə/,"all that, whatever, Sin a bhfuil ann.That's all that",,
a,/ə/,"introduces a vocative, A Dhia!O God!, A dhuine uasail!Sir!,",,
a,/ə/,"introduces a numeral, a haon, a dó, a trí... ― one,",,
a,/ə/,"to (used with verbal nouns), síol a chur ― to sow seed,",,
a,/ə/,"introduces a vocative, A Dhia!O God!, A dhuine uasail!Sir!,",,
a,/ə/,"introduces a numeral, a haon, a dó, a trí... ― one,",,
a,/ə/,"to (used with verbal nouns), síol a chur ― to sow seed,",,
a,/ə/,"introduces a numeral, a haon, a dó, a trí... ― one,",,
a,/ə/,"to (used with verbal nouns), síol a chur ― to sow seed,",,
a,/ə/,"to (used with verbal nouns), síol a chur ― to sow seed,",,
á,/ɑː/,"him, her, it, them (used before the verbal noun in",,
á,/ɑː/,ah!,,
á,/ɑː/,The letter a with an acute accent.,,
á,/ɑː/,ah!,,
á,/ɑː/,The letter a with an acute accent.,,
á,/ɑː/,The letter a with an acute accent.,,
a',/ə/,"(nonstandard) Contraction of an (used to form direct and indirect questions).
1894 March 1,  Peadar Mac Fionnlaoigh,  “An rí nach robh le fagháil bháis”, in  Irisleabhar na Gaedhilge, volume 1:5, Dublin: Gaelic Union, pages 185–88:Chonnaic sé cailín ag nigheachán i sruthán le cois an bhealaigh mhóir ⁊ chuir sé an tiománach síos ag fiafraighe di a’ bpósfadh sí é.  […]  Chuaidh an rí é féin síos annsin ⁊ d’fhiafraigh dhi a’ bpósfadh sí é.He saw a girl washing in a stream by the roadside, and he sent his driver down to ask her if she would marry him.  […]  The king himself then went down, and asked her would she marry him.",,
abacas,[ˈabˠəkəsˠ],"abacus (calculating frame), Synonym: fráma comhairimh",,
abair,/ˈabˠəɾʲ/,"say, utter, amhrán a rá ― to sing a song, mean, refer",,
abairt,/ˈabˠəɾˠtʲ/,"sentence, expression, saying, adage, phrase, manner,",,
ábalta,/ˈɑːbˠəl̪ˠt̪ˠə/,"able, capable, able-bodied",,
ábaltacht,/ˈɑːbˠəl̪ˠt̪ˠəxt̪ˠ/,"ability, strength, Synonyms: acmhainneacht, cumas,",,
abar,/ˈabˠəɾˠ/,"boggy ground, morass",,
abartha,/ˈabˠəɾˠə/,given to repartee,,
abarthach,/ˈabˠəɾˠəx/,Alternative form of abartha (“given to repartee”),,
Abcáisis,/ˈabˠkaːʃɪʃ/,the Abkhaz language,,
abhac,/auk/,"dwarf, midget, Antonym: fathach, dwarf star, Synonym:",,
abhaile,[əˈvˠɑlʲə],"home (goal-oriented), homewards",,
abhaill,/ˈəuwəl̠ʲ/,apple tree,,
abhainn,/əunʲ/,"river, Níl aon abhainn san oileán.There’s no river",,
ábhar,/ˈauɾˠ/,"matter, material, makings, potential qualities, cause,",,
ábhar,/ˈauɾˠ/,(nautical) bed of rowlock,,
ábhar,/ˈauɾˠ/,(nautical) bed of rowlock,,
abhlóir,/ˈaulˠɔɾʲ/,"buffoon, fool; boor, confused, bewildered, person",,
abhras,/ˈəuɾˠəsˠ/,"handiwork (carding, spinning, etc.), yarn, Synonym:",,
abhus,/əˈvˠʊsˠ/,"here (in, on, or at this place), on this side, in this",,
Abrán,/ɑbˠəˈɾˠɑːn̪ˠ/,Munster form of Aibreán (“April”),,
acadamh,/ˈakəd̪ˠəvˠ/,academy,,
acais,/ˈækəʃ/,"Alternative form of aicis (“spite, rancor, venom”)",,
acaiseach,/ˈækəʃəx/,Alternative form of aiciseach,,
-ach,/əx/,Forms nouns from other nouns and adjectives with the,,
-ach,/əx/, forms the genitive singular of some fifth-declension,,
-ach,/əx/, forms the genitive singular of some fifth-declension,,
ach,/ɑx/,but,,
ach,/ɑx/,"except, but",,
ach,/ɑx/,"but, only, merely",,
ach,/ɑx/,ah! och! ugh!,,
ach,/ɑx/,ah! och! ugh!,,
achadh,/ˈaxə/,"(archaic, otherwise almost only in place names) field",,
achar,/ˈaxəɾˠ/,"distance, extent, 1899, Franz Nikolaus Finck, Die araner",,
achoimre,[ˈaˌxɪmʲɾʲə],"summary, outline, Tá achoimre le fáil sa bhileog seo.",,
achoimre,[ˈaˌxɪmʲɾʲə],"inflection of achomair (“concise, brief; summary; near,",,
achoimre,[ˈaˌxɪmʲɾʲə],"inflection of achomair (“concise, brief; summary; near,",,
acra,/ˈɑkɾˠə/,acre,acre,ˈeɪkɚ
acra,/ˈɑkɾˠə/,"tool, implement, service, convenience",acre,ˈeɪkɚ
acra,/ˈɑkɾˠə/,"tool, implement, service, convenience",acre,ˈeɪkɚ
acsón,/akˈsˠoːn̪ˠ/,"(cytology) axon, Synonym: néarshnáithín",,
adaí,/ˈad̪ˠi/,"Synonym of úd (“yon, yonder; that”)",,
adamh,/ˈɑd̪ˠəvˠ/,atom,,
Ádhamh,/ɑːvˠ/,"A male given name from Hebrew, equivalent to English",,
adharc,/əiɾˠk/,"horn (of animal), antlers, horn material (substance",,
adhlacóir,[əil̪ˠəˈkoːɾʲ],"undertaker, funeral director, Synonyms: adhlacanach,",,
adhlaic,/ˈəil̪ˠəc/,"(transitive) bury (inter a corpse in a grave or tomb),",,
adhmad,/ˈəimˠəd̪ˠ/,"wood (substance); timber, material, substance, (golf)",,
adhnaic,/ˈəin̪ˠəc/,Alternative form of adhlaic (“to bury (a body)”),,
ádhúil,/ˈɑːwʊl/,"lucky, fortunate, Antonym: mí-ádhúil",,
aer,/eːɾˠ/,"air, sky, (weather) climate, gaiety, pleasure, (music)",,
aer,/eːɾˠ/,wonder,,
aerach,/ˈeːɾˠəx/,"airy, lighthearted, gay; lively, frolicsome, flighty,",aerach,ˈɛɹæt͡ʃ
aeráid,/eːˈɾˠɑːdʲ/,"(weather) climate, Synonyms: aer, clíoma, flightiness,",,
