L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
'ariki,/ʔa.ˈɾi.ki/,"chief, king",,
'au,/ˈʔa.u/,smoke,,
'ava,/ˈʔa.va/,liquor,,
'one,/ˈʔo.ne/,sand,,
a'o,/ˈa.ʔo/,speech,,
aha,/ˈa.ha/,what?,,
ahi,/ˈa.hi/,fire,,
ahu,/ˈa.hu/,"stone platform under a statue, especially a mo'ai",,
aka,/ˈa.ka/,root (of plant),,
ana,/ˈa.na/,Introduces the irrealis mood.,,
ao,/ˈa.o/,(transitive) to serve (food),,
ara,/ˈa.ɾa/,"path, road, way",,
au,/ˈa.u/,"I, me, 1995,  Rapanui: A descriptive grammar‎[1], page",,
e,/ˈe/,"Used to mark the subject of a non-stative verb., Used",,
e,/ˈe/,"Used to indicate the imperfective aspect., Used to",,
e,/ˈe/,"Used to indicate the imperfective aspect., Used to",,
eee,/e.ˈe.e/,Alternative form of 'ēē,,
ena,/ˈe.na/,"this, that (near the spoken to), Te vaka ena. ― That",,
era,/ˈe.ɾa/,"that, Te vaka era. ― That canoe.",,
ha'u,/ˈha.ʔu/,hat,,
haha,/ˈha.ha/,mouth,,
haha'u,/ha.ˈha.u/,(transitive) to tie; tie up,,
haka,/ˈha.ka/,Used to indicate the causative aspect.,,
hakapei,/ˌha.ka.ˈpe.i/,(intransitive) to slide down a slope as a sport,,
hapaina,/ˌha.pa.ˈi.na/,glass (small vessel for drinks),hāpaina,hæpˈeɪnə
hare,/ˈha.ɾe/,"house, home, family",,
hatu,/ˈha.tu/,(transitive) to weave,,
hatuhatu,/ˌha.tu.ˈha.tu/,(transitive) to fold,,
hau,/ˈha.u/,"string, cord",,
hauhau,/ˌha.u.ˈha.u/,burbark (Triumfetta semitriloba),,
henua,/he.ˈnu.a/,"land, ground, earth",,
hitu,/ˈhi.tu/,seven,,
ika,/ˈi.ka/,"fish, war casualty",,
iva,/ˈi.va/,nine,,
ka,/ˈka/,"Used to indicate the future tense., Used to indicate",,
ka,/ˈka/,"Intensifies the following verb; how! what a!, ¡Ka ma'itaki",,
kau,/ˈka.u/,(intransitive) to swim,,
manu,/ˈma.nu/,bird,,
mo'ai,/ˈmo.ʔai/,"Statue, statuette (especially one of the large stone",,
moa,/ˈmo.a/,chicken,,
ngau,/ˈŋa.u/,(transitive) to bite,,
o,/o/,possessive particle marking an inalienable possession;,,
o,/o/,or,,
o,/o/,or,,
ono,/ˈo.no/,six,,
rima,/ˈɾi.ma/,five,,
rima,/ˈɾi.ma/,"hand, arm",,
rima,/ˈɾi.ma/,"hand, arm",,
rua,/ˈɾu.a/,two,,
rua,/ˈɾu.a/,(intransitive) to vomit,,
rua,/ˈɾu.a/,(intransitive) to vomit,,
tahi,/ˈta.hi/,one,,
tahi,/ˈta.hi/,"all, entirely, fully",,
tingo,/ˈti.ŋo/,(transitive) to extract or haul as much as possible[1],,
toru,/ˈto.ɾu/,three,,
va'u,/ˈva.ʔu/,eight,,
varu,/ˈva.ɾu/,(dated) Synonym of va'u,,
