L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
69'er,/niːɔtresər/,(sexuality) sixty-nine (a sex position where two people,,
A,/æː/,"The first letter of the Danish alphabet, written in",,
A,/æː/,"The first letter of the Danish alphabet, written in",,
A,/æː/,"The first letter of the Danish alphabet, written in",,
Aalborg,/ɔlbɔr/,"Aalborg (the capital city of North Jutland, Denmark)",,
abbed,[ˈɑb̥eð],abbot (superior or head of an abbey or monastery),,
abbedi,/abedi/,abbey (monastery headed by an abbot),,
abbedisse,/abedisə/,abbess (female superior of a nunnery),,
ABC,/abeseː/,ABC (a primer for teaching the Latin alphabet and first elements of reading; the rudiments of any subject),,
abc,/abeseː/,ABC (a primer for teaching the Latin alphabet and first elements of reading; the rudiments of any subject),,
abe,/aːbə/,"monkey, ape",,
abe,/aːbə/,"mimic, ape",,
abe,/aːbə/,"mimic, ape",,
abonnement,/abonəmanɡ/,subscription (the purchase of a series of things),,
abort,/abʌɐ̯t/,abortion,,
abrikos,/abrikoːs/,apricot (fruit),,
absurd,/absurd/,absurd,,
absurd,/absurd/,absurdly,,
acceptabel,/aksɛptaːbəl/,acceptable,,
acetone,/asətoːnə/,acetone (the organic compound (CH₃)₂CO),,
Achilles,[aˈkʰiləs],Achilles,,
Achilleus,[aˈkʰilœwˀs],Achilles,,
adgang,[ˈaðˌɡ̊ɑŋˀ],"access, permission, entry",,
adgangskode,/adɡanɡskoːdə/,password (computing: string of characters known only,,
adjektiv,[ˈaðjɛɡ̊ˌtˢiwˀ],(grammar) adjective (a word that modifies a noun or,,
adjunkt,[aðˈjɔŋˀd̥],"an assistant professor at the university, below the",,
adjø,/adjø/,"goodbye, farewell, Jeg blir desværre nødt til at gå",,
adr,/adər/,"ew, bleah",,
adresse,/adrɛsə/,"address, abbreviated adr.",,
advare,/advaːrə/,warn (to make someone aware of impending danger),,
advarsel,/advarsəl/,warning,,
advent,/advɛnt/,Advent (the period from Advent Sunday to Christmas),,
adverbium,/adˈvɛːrbjɔm/,adverb (lexical category),,
ae,/aːə/,"to stroke, pat, caress",,
af,[a],"by, the active part, originator: En roman af Hemingway",af,ˈæf
af,[a],"off, tage sit tøj af - take off one's clothes, of,",af,ˈæf
af-,/ɑʊ̯/,"de-, to cause to cease to be, tabuisere (“to taboo”)",,
afart,[ˈɑʊ̯ˌɑːˀd̥],"variant, variety, variation",,
afbilde,/avbelˀə/,to depict,,
afbildning,/avbilnenɡ/,"depiction (lifelike image), reproduction, illustration,",,
afbryde,[ˈɑwˌb̥ʁyˀðə],"To interrupt, to disconnect",,
affolke,-ʌlkə,to depopulate,,
afføring,/avføːrenɡ/,"defecation, bowel movement, motion, feces, excrement,",,
afgå,-ɑː,To take off,,
afgøre,[ˈɑwˌɡ̊ɶˀɐ],to decide,,
afgørende,/ˈavˌɡœrənə/,present participle of afgøre,,
afgørende,/ˈavˌɡœrənə/,decisive,,
afgørende,/ˈavˌɡœrənə/,decisively,,
afhold,[ˈɑwˌhʌlˀd̥],"(rare) abstention, abstinence",,
afhold,[ˈɑwˌhʌlˀd̥],imperative of afholde,,
afhold,[ˈɑwˌhʌlˀd̥],imperative of afholde,,
afholde,[ˈɑwˌhʌlˀə],"to hold (an event, arrangement, election etc.), to",,
afholdende,[ˈɑwˌhʌlˀənə],present participle of afholde,,
afholdende,[ˈɑwˌhʌlˀənə],"abstinent, abstemious, temperate, continent",,
afholdende,[ˈɑwˌhʌlˀənə],"abstemiously, temperately, continently",,
afholdenhed,[ˈɑwˌhʌlˀənˌheðˀ],"abstention, abstinence",,
afholdt,[ˈɑwˌhʌlˀd̥],past tense of afholde,,
afholdt,[ˈɑwˌhʌlˀd̥],popular,,
afklæde,[ˈɑwˌkʰl̥ɛˀðə],"(transitive) undress, 1942, Gunnar Gunnarsson, Brandur",,
aflede,/avleːˀðə/,"to derive (to create from something already existing),",,
afledt,/avleːˀt/,past participle of aflede,,
afledt,/avleːˀt/,"(mathematics, as a noun) derivative
1999, Nationaløkonomisk tidsskrift: maanedskrift for samfundsspørgsmaal, økonomi og handel
En prik over en  variabel angiver den tidsafledte; dvs. 






x
˙



=



d
x


d
t





{\displaystyle {\dot {x}}={\frac {dx}{dt}}}

.
A dot over a variable denotes the time derivative; i.e., 






x
˙



=



d
x


d
t





{\displaystyle {\dot {x}}={\frac {dx}{dt}}}

.",,
aflevere,[ˈɑʊ̯leˌʋeːˀɐ],To convey or hand over something.,,
aflevering,/avleveːrenɡ/,"delivery, surrender (the yielding or delivery of a",,
aflive,[ˈɑʊ̯ːliʋə],to euthanize,,
aflyd,[ˈɑʊˌløð],ablaut,,
aflyse,/avlyːˀsə/,to cancel,,
afløb,/avløːb/,outlet,,
afmagt,/avmakt/,"powerlessness, faint, swoon",,
afpresning,/avprɛsnsnɡ/,extortion (the practice of extorting money or other property),,
afrikaner,/afriˈkaːˀnər/,African (a native of Africa),,
afrikansk,/afrikaːnsk/,"African (of, or pertaining to Africa), abbreviated afr.",,
afrodisiakum,/afrodisiːakɔm/,aphrodisiac (food or drug),,
Afrodite,[ɑfʁoˈd̥id̥ə],(Greek mythology) Aphrodite,,
afsked,[ˈɑʊ̯ˌsɡ̊eð̠ˠˀ],"a parting; a farewell, Sørgmodigt tog de afsked på",,
afskrift,/avskreft/,a copy of a text,,
afskyelig,/avskyːəli/,"hateful, detestable, abominable, odious, disgusting,",,
afslutte,[ˈɑʊ̯ˌslud̥ə],"finish, end, close, conclude, finalize, complete, terminate,",,
afstand,/avstanˀ/,distance,,
