L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
aag,/ˈɑːχ/,pooh,,
aalbessie,/ˈɑːl.bɛsi/,"currant; blackcurrant, red currant and white currant",,
aalfuik,/ˈɑːl.fœik/,fyke for catching eel; eelbuck,,
aalfuikie,/ˈɑːl.fœi.ki/,Diminutive of aalfuik,,
aalmoes,/ˈɑːl.mus/,"alms, charity",,
aandklok,/ˈɑːnt.klɔk/,curfew,,
aandrok,/ɑːnt.rɔk/,"evening gown, evening dress",,
aangaan,/ˈɑːn.χɑːn/,"to concern; to be a concern to; to be someone’s business,",aangaan,ˈɑːŋɡɑːn
aanmatiging,/ˈɑːˌmɑːtə.χəŋ/,arrogance,,
aanvraag,/ˈɑːn.frɑːχ/,"An application, a request.",,
aanvraag,/ˈɑːn.frɑːχ/,"(transitive) to apply, to request",,
aanvraag,/ˈɑːn.frɑːχ/,"(transitive) to apply, to request",,
aap,/ɑːp/,"A monkey, ape.",,
aarde,/ˈɑːr.də/,"Earth (planet), 1917, Christiaan Louis Leipoldt, Praatjies",,
Aarde,/ˈɑːr.də/, (astronomy) Earth,,
aardwolf,[ˈɑːrtvoɫf],aardwolf,,
aartappel,/ˈɑːrtˌa.pəl/,potato,,
abba,/ˈa.ba/,(transitive) to carry on one's back,,
aborsie,/aˈbɔr.si/,abortion (induced abortion),abortion,ɐbˈɔː͡ɹʃən
adder,/ˈadər/,"viper, adder",,
adel,/ˈɑː.dəl/,"nobility, aristocracy",,
adelstand,/ˈɑː.dəlˌstant/,"nobility, aristocracy",,
adres,/aˈdrɛs/,address (direction for letters; details of a building's,,
afgaan,/ˈafχɑːn/,to go down; descend,,
afgeleë,/ˈaf.χəˌlɪə/,"remote, distant, far outlying",,
aflaai,/ˈaf.lɑːi̯/,(transitive) to unload,,
Afrikaander,/ˌa.friˈkɑːn.dər/,(dated) Alternative form of Afrikaner.,,
Afrikaans,/afrɪˈkɑ̃ːs/,"Afrikaans, relating to Afrikaans, African, relating",,
Afrikaans,/afrɪˈkɑ̃ːs/,the Afrikaans language.,,
Afrikaner,/afriˈkɑːnər/,"Afrikaner, Synonym: (colloquial or historical) Boer,",,
afsaag,/ˈafˌsɑːχ/,"(transitive) to saw off, Toe sy die takke snoei met",,
afslaandak,/ˈafslɑːndak/,"A soft top, a retractable or foldable top., 2010, Helena",,
afstand,/ˈaf.stant/,distance,,
aftands,/afˈtants/,"run-down, dilapidated, senile, old",,
afwesig,/a(f)ˈvɪə̯.səx/,absent,,
afwesigheid,/a(f)ˈvɪə̯.səx.ɦəi̯t/,absence,,
ag,/aχ/,"esteem, eight",,
ag,/aχ/,"to regard; to deem, Ek ag hom as 'n belangrike bate",,
ag,/aχ/,"oh, oh no, shoot, damn, oh dear",ach,ˈɐt͡ʃ
ag,/aχ/,Alternative form of agt,ach,ˈɐt͡ʃ
ag,/aχ/,"to regard; to deem, Ek ag hom as 'n belangrike bate",ach,ˈɐt͡ʃ
ag,/aχ/,"oh, oh no, shoot, damn, oh dear",ach,ˈɐt͡ʃ
ag,/aχ/,Alternative form of agt,ach,ˈɐt͡ʃ
ag,/aχ/,"oh, oh no, shoot, damn, oh dear",ach,ˈɐt͡ʃ
ag,/aχ/,Alternative form of agt,ach,ˈɐt͡ʃ
ag,/aχ/,Alternative form of agt,ach,ˈɐt͡ʃ
agt,/aχt/,eight,,
akkerboom,/ˈa.kərˌbʊə̯m/,"An oak, tree of the genus Quercus.",,
akupunktuur,/ɑkɨpœŋkˈtɨːr/,acupuncture,,
al,/al/,already,,
al,/al/,all; every,,
al,/al/,"even though, although",,
alledaags,/ˌa.ləˈdɑːχs/,"usual, commonplace, ordinary",,
almal,/al.mal/,"all; everyone, Almal het die waarheid geweet, maar",,
altaar,/ˈal.tɑːr/,altar,,
altyd,/ˈal.təi̯t/,"always, Hy sal altyd lief wees vir hom.He will always",,
Amerika,/aˈmɪərəka/,America (the continents of North America and South,,
Amerikaner,/a.mɪə̯.riˈkɑː.nər/,American,,
amp,/amp/,"An official position, a function, an office, a post.",,
amper,/ˈam.pər/,"almost, Jouself amper gekak!You almost shat yourself!",,
an,/an/,(Western Cape) Alternative form of aan.,,
andersyds,/ˈan.dərˌsəi̯ts/,on the other hand,,
André,/ˈandrəi/,A male given name,,
anker,/ˈaŋ.kər/,anchor,,
anker,/ˈaŋ.kər/,(intransitive) to anchor,,
anker,/ˈaŋ.kər/,(intransitive) to anchor,,
antenne,/ˈantɛn.nə/,"aerial, antenna",,
antiek,/anˈtik/,antique,,
antiheld,/ˈɑn.tiˌɦɛld/,"(film, literature) antihero",,
antwoord,/ˈɐnt.vuə̯rt/,answer,,
antwoord,/ˈɐnt.vuə̯rt/,to answer,,
anys,/aˈnəis/,anise,,
apart,/aˈpart/,separate,,
appel,/ˈa.pəl/,apple,,
appelkoos,/ˌa.pəlˈkʊəs/,apricot,,
argaïes,/arˈχɑː.is/,archaic,,
argitek,/ˌar.χiˈtɛk/,architect,,
arriveer,/ˌa.riˈfɪə̯r/,(intransitive) to arrive,,
arts,/arts/,"medical doctor, Synonym: dokter",,
as,/as/,"ash, ashes",,
as,/as/,"axle, axis",,
as,/as/,"if, when",,
as,/as/,like,,
as,/as/,"axle, axis",,
as,/as/,"if, when",,
as,/as/,like,,
as,/as/,"if, when",,
as,/as/,like,,
asseblief,/ɑsəbliːf/,please,,
assegaai,/ˌa.səˈχɑːi̯/,assegai,,
asyn,/aˈsəin/,vinegar,,
avontuur,/a.fɔnˈtyr/,"adventure (remarkable, exciting or challenging experience)",,
AWB,/aːviəbiə/,Afrikaner Weerstandsbeweging (Afrikaner Resistance Movement),,
baadjie,/ˈbɑːɪ̯ki/,jacket,,
baai,/bɑːi̯/,bay,,
baai,/bɑːi̯/,(also figuratively) to bathe,,
baai,/bɑːi̯/,bye,bye,bˈaɪ
baai,/bɑːi̯/,(also figuratively) to bathe,bye,bˈaɪ
baai,/bɑːi̯/,bye,bye,bˈaɪ
baai,/bɑːi̯/,bye,bye,bˈaɪ
baaitjie,[bɑːiːki],Diminutive of baai,,
baar,[bɑːɾ],to give birth to; to bear,baren,bˈæɹən
baar,[bɑːɾ],stretcher; litter; bier.,baar,bˈɑː͡ɹ
baar,[bɑːɾ],big wave; breaker.,baar,bˈɑː͡ɹ
baar,[bɑːɾ],bar (of metal),baar,bˈɑː͡ɹ
baar,[bɑːɾ],inexperienced,baar,bˈɑː͡ɹ
baar,[bɑːɾ],stretcher; litter; bier.,baar,bˈɑː͡ɹ
baar,[bɑːɾ],big wave; breaker.,baar,bˈɑː͡ɹ
baar,[bɑːɾ],bar (of metal),baar,bˈɑː͡ɹ
baar,[bɑːɾ],inexperienced,baar,bˈɑː͡ɹ
baar,[bɑːɾ],big wave; breaker.,baar,bˈɑː͡ɹ
baar,[bɑːɾ],bar (of metal),baar,bˈɑː͡ɹ
baar,[bɑːɾ],inexperienced,baar,bˈɑː͡ɹ
baar,[bɑːɾ],bar (of metal),baar,bˈɑː͡ɹ
baar,[bɑːɾ],inexperienced,baar,bˈɑː͡ɹ
baar,[bɑːɾ],inexperienced,baar,bˈɑː͡ɹ
baarmoeder,/ˈbɑːrˌmu.dər/,"womb, uterus",,
baas,/bɑːs/,boss,,
bad,[bɑt],bath,,
baie,/ˈbajə/,"very, much, Haar baas is baie lelik.Her boss is very",,
baie,/ˈbajə/,"(with positive polarity, when not modified by adverbs)",,
baie,/ˈbajə/,"(with positive polarity, when not modified by adverbs)",,
bak,/bak/,"covered bowl, basin, tub, vat, boot (UK), trunk (US)",,
bak,/bak/,"to bake, to fry",,
bak,/bak/,"to bake, to fry",,
bakkie,/ˈba.ki/,A bakkie (pick-up truck or ute),,
baklei,/bəˈkləi̯/,"(intransitive) to quarrel, to argue, to fight, (intransitive)",,
bal,/bal/,"A ball (spherical object, used as a toy).",,
bal,/bal/,A ball (formal dance event).,,
bal,/bal/,A ball (formal dance event).,,
ballingskap,/ˈba.ləŋˌskap/,exile (state of being in exile),,
ballon,/baˈlɔn/,balloon,,
bamboes,/ˈbam.bus/,bamboo,,
bandana,/banda.na/,bandana,bandana,bændˈɑːnə
bandopnemer,/ˈbant.ɔp.nɪə̯.mər/,A tape recorder.,band,bˈænd
bang,/baŋ/,afraid,,
bank,/baŋk/,"bench, couch",,
bank,/baŋk/,"bank (financial institution), (games, gambling) bank,",,
bank,/baŋk/,"(transitive) to deposit, to bank, (intransitive) to",,
bank,/baŋk/,"bank (financial institution), (games, gambling) bank,",,
bank,/baŋk/,"(transitive) to deposit, to bank, (intransitive) to",,
bar,[bɑɾ],barren,,
Barnard,/ˈbarnart/,A  surname​.,,
bas,[bɑs],bass (instrument),,
be-,/bə/,Used to indicate that a verb is acting on a direct,,
bed,/bɛt/,"bed, Synonym: kooi",,
bediende,/bəˈdin.də/,"servant, low-ranking employee",,
bedkussing,/ˈbɛtˌkœ.səŋ/,A pillow.,,
bedoeling,/bəˈdu.ləŋ/,intention,,
bedrog,/bəˈdrɔx/,"deception, fraud, deceit",,
bedryf,/bəˈdrəif/,"business, enterprise, profession",,
bedryf,/bəˈdrəif/,"to do, to make, construct",,
bedryf,/bəˈdrəif/,"to do, to make, construct",,
beeldsend,/ˈbɪə̯lt.sɛnt/,"(transitive) to broadcast on television, to televise",,
beer,/bɪər/,bear,,
beer,/bɪər/,"boar, male swine",,
beer,/bɪər/,"boar, male swine",,
bees,/bɪəs/,"cow, ox (bovine, esp. of a domesticated species), brute",,
beesvleis,/ˈbɪə̯s.fləi̯s/,"beef, Daar was baie veel beesvleis by die braai.There",,
beet,/biə̯t/,beetroot,,
begraafplaas,/bəˈχrɑːfˌplɑːs/,cemetery; graveyard,,
begrip,/bəˈχrəp/,"notion, concept, term, understanding, comprehension,",,
begripsraamwerk,/bəˈχrəpsˌrɑːm.vɛrk/,conceptual framework,,
begroting,/bəˈχrʊə̯.təŋ/,A budget.,,
beheersing,/bəˈɦɪə̯r.səŋ/,"proficiency, command, mastery, knowledge",,
behoort,/bəˈɦʊər/,"to belong [+ aan (to)], to befit, to behoove",,
bejaard,/bəˈjɑːrt/,elderly,,
bek,/bɛk/,"beak, mouth of an animal, (derogatory) mouth of a human",,
bekend,/bəˈkɛnt/,(well-)known,,
bekkie,[bɛ̞ki],little mouth,,
bekostig,/bəˈkɔs.təχ/,"(transitive) to finance, to pay for",,
bekroon,/bəˈkrʊə̯n/,"(transitive) to crown, to award",,
belangrik,/bəˈlaŋ.rək/,important (having relevant and crucial value),,
beleefdheid,/bəˈlɪə̯ftˌɦəi̯t/,politeness,,
belofte,/bəˈlɔf.tə/,promise,,
belowe,/bəˈlʊə̯.və/,(transitive) to promise,,
belus,/bəˈlœs/,"eager, desiring, craving [+ op (for, to)]",,
belydenis,/bəˈləi̯.dəˌnəs/,confession,,
beperk,/bəˈpɛrk/,"(transitive) to limit, to curtail, to restrict, to",,
beperking,/bəˈpɛr.kəŋ/,"constraint, limitation, Hy het eindelik geleer om sy",,
bergreeks,/ˈbɛrχ.rɪə̯ks/,mountain range,,
bergwind,/ˈbɛrχ.vənt/,A bergwind.,,
beroof,/bəˈrʊə̯f/,"(transitive) to rob, to steal from, Ek het jou beroof.I",,
besef,/bəˈsɛf/,"(transitive) to realise, to notice",,
besef,/bəˈsɛf/,"awareness, realisation, sense",,
besef,/bəˈsɛf/,"awareness, realisation, sense",,
beset,/bəˈsɛt/,"(transitive) to occupy, to fill, (transitive, military)",,
besetting,/bəˈsɛ.təŋ/,occupation,,
besig,/ˈbɪə.səχ/,busy,,
beskaaf,/bəˈskɑːf/,"civilised, cultured",,
beskawing,/bəˈskɑː.vəŋ/,civilisation,,
beskeie,/bəˈskəi̯.ə/,"modest, humble",,
beskou,/bəˈskœu̯/,"(transitive) to consider, to regard [+ as (object)",,
besoedel,/bəˈsu.dəl/,"(transitive) to besmirch, to sully, to stain",,
besoek,/bəˈsuk/,to visit,,
besoek,/bəˈsuk/,"a visit, company (people visiting)",,
besoek,/bəˈsuk/,"a visit, company (people visiting)",,
besoeker,/bəˈsu.kər/,A visitor.,,
bestanddeel,/bəˈstanˌdɪə̯l/,"ingredient (one of the parts of a whole), component,",,
bestialiteit,/ˌbɛs.ti.a.liˈtəi̯t/,bestiality,,
bestuiwing,/bəˈstœi̯.vəŋ/,pollination,,
betekenis,/bəˈtiə̯kənəs/,"understanding; meaning; content, intended effect, importance;",,
beter,/ˈbɪətər/,comparative degree of goed,beter,bᵻtˈɜː
beter,/ˈbɪətər/,had better (used as an auxiliary verb to mean should;,beter,bᵻtˈɜː
beton,/bəˈtɔn/,concrete,,
betoon,[bətuən],"to show, display",,
betuig,/bəˈtœi̯χ/,"(transitive) to express, to profess, to declare",,
beweeg,/bəˈvɪə̯χ/,"(intransitive) to move, to be in motion, to stir, Ek",,
bid,/bət/,to pray,,
bied,[bit],to offer,,
bieg,/ˈbiχ/,(religion) confession of sin to a priest,,
bieg,/ˈbiχ/,"(religion) to confess, to admit or confess, especially",,
bier,/bir/,beer (alcoholic drink brewed from grains or other starch,,
bietjie,/biki/,"a little; a bit; fairly (sometimes used with maar),",,
bietjie,/biki/,"a little, a bit",,
bietjie,/biki/,"a little bit, a few, Die bietjie wat daar was was bly.The",,
biskop,/ˈbəskɔp/,(Christianity) bishop; high-ranking priest of the Roman-Catholic,,
blaar,/blɑːr/,leaf (of a plant),,
blad,[blɐt],"page, sheet of paper, (informal) newspaper, pamphlet,",,
bladsy,/ˈblat.səi̯/,page,,
blaker,/ˈblɑː.kər/,"low candle holder or candelabrum, usually with a flat",,
blank,/blaŋk/,"white, White; Caucasian",,
blanke,/ˈblaŋ.kə/,"a white person, someone with a light skin colour",,
blanke,/ˈblaŋ.kə/,attributive form of blank,,
blaps,/blaps/,"A howler, a boner, a blooper (great mistake).",,
Blignault,/ˈblɨxnœut/,A  surname​.,,
bliksem,/ˈblək.səm/,damnit!,,
bliksem,/ˈblək.səm/,"(uncountable, dated) lightning, (colloquial) bastard,",,
bliksem,/ˈblək.səm/,"(colloquial) to hit, to beat up, Ek sal jou bliksem!I",,
bliksemstraal,/ˈblək.səmˌstrɑːl/,lightning bolt; lightning flash,,
blind,/blənt/,blind (unable to see),,
bloed,/blut/,blood,,
bloedbank,/ˈblut.baŋk/,blood bank,,
bloedgroep,/ˈblut.χrup/,blood type,,
bloedoortapping,/ˈblut.ʊə̯r.ta.pəŋ/,A blood transfusion.,,
Bloemfontein,/ˈblumfɔntəi̯n/,Bloemfontein (a city in South Africa),,
blom,/blɔm/,flower,,
blou,/blœu̯/,blue,,
bloubok,/ˈblœu.bɔk/,"bluebuck, Hippotragus leucophaeus",,
blouwalvis,/ˈblœu̯ˌval.fəs/,"blue whale, Balaenoptera musculus",blou,blˈuː
bly,/bləi/,"to live (somewhere), Ons bly in 'n dorpie by die see.We",,
bly,/bləi/,"happy, Ek is baie bly vir jou!I am very happy for you!",,
bly,/bləi/,"happy, Ek is baie bly vir jou!I am very happy for you!",,
bo,/bʊə/,above,,
bo,/bʊə/,above,,
bobbejaan,/ˌbɔ.bəˈjɑːn/,baboon,,
boei,/bui̯/,buoy,,
boek,/buk/,book,,
boekery,/ˌbu.kəˈrəi̯/,library,,
boeket,/buˈkɛt/,"bouquet, Synonyms: handruiker, ruiker",,
boelie,/ˈbu.li/,"bully, 2000, Philip de Vos, Die Deng van Gauteng, Human",bully,bˈʊli
boemelaar,/ˈbu.məˌlɑːr/,"A vagrant, a swagman., Baie boemelaars slaap in die",,
boep,/bup/,"potbelly, beer belly",,
boepens,/ˈbu.pɛ̃ːs/,"potbelly, beer belly",boekpens,bˈoʊkpənz
Boer,/buːr/,"A Boer; an Afrikaner, especially an inhabitant or descendant",,
boer,/buːr/,"A farmer; peasant., (chess) A pawn; least valuable",,
boer,/buːr/,"To farm., To continuously encounter someone at a specific",,
boer,/buːr/,"To farm., To continuously encounter someone at a specific",,
boereplaas,/ˈbu.rəˌplɑːs/,farm,,
bofbal,/ˈbɔ̯f.bal/,"(uncountable, sports) baseball, baseball; a ball used",,
bok,/bɔk/,"goat, antelope, buck, Synonym: wildsbok, (slang) lover",,
bok,/bɔk/,"keen, willing",,
bokwiet,/ˈbɔk.vit/,buckwheat,,
bol,/bɔl/,A sphere; a ball.,,
Boland,/ˈbʊə̯.lant/,"An upland, inland region in the Western Cape, to the",,
Bolands,/ˈbʊə̯.lants/,"Of, from, in or pertaining to the Boland.",,
bom,/bɔm/,"bomb, explosive, (figuratively) bombshell (something",,
boogskutter,/ˈbʊə̯χˌskœ.tər/,"archer; someone who shoots an arrow from a bow, a soldier",,
boom,/bʊəm/,tree,,
boon,/bʊə̯n/,bean,,
boonop,/bʊə̯nˈɔp/,"on top, above",,
boonop,/bʊə̯nˈɔp/,"on top of, above",,
boor,/bʊər/,drill,,
boor,/bʊər/,boron,,
boor,/bʊər/,to drill,,
boor,/bʊər/,boron,,
boor,/bʊər/,to drill,,
boor,/bʊər/,to drill,,
boot,/bʊət/,boat,,
bordeel,/bɔrˈdɪə̯l/,"brothel, bordello, Die bordeel was die interessantste",,
bors,/bɔ(ː)rs/,"chest, breast",,
borsmelk,/ˈbɔrs.mɛlk/,breastmilk,bors,bˈoː͡ɹz
bos,/bɔs/,"wood, forest, bush, shrub, bunch, bundle, sheaf, bouquet,",,
bosbedryf,/ˈbɔsbəˌdrəif/,forestry,,
boswagter,/ˈbɔsˌvaχ.tər/,"ranger, forest warden, forester, arboriculturist",,
boswerker,/ˈbɔsˌvɛr.kər/,"lumberjack, woodcutter, forest worker",,
bot,/bɔt/,flounder (fish),,
Botha,/ˈbuəta/,A  surname​.,,
botter,/ˈbɔ.tər/,"(uncountable) butter; a soft, fatty foodstuff made",,
botter,/ˈbɔ.tər/,to butter; to spread butter,,
