L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
abade,/a.ˈba.de/,abbot (superior or head of an abbey or monastery),,
abadessa,/a.ba.ˈde.s̺a/,abbess (female superior of a nunnery or convent),,
abadia,/a.ba.ˈdi.a/,abbey (monastery headed by an abbot),,
abella,/a.ˈbe.ʎa/,bee (flying insect),,
abril,/aˈbɾil/,"April, 13th century C.E.,  Alfonso X of Castile,  Cantigas",,
abrir,/a.ˈbɾiɾ/,to open,,
acalçar,/a.kal.ˈt͡saɾ/,"to reach, 13th century C.E.,  Alfonso X of Castile,",,
acender,/a.t͡sẽ.ˈdeɾ/,to light a fire,,
adega,/a.ˈde.ɡa/,"cellar (collection of wine), 1525-1526, Cancioneiro",,
adiano,/adiˈano/,"a precious gift, 13th century C.E.,  Alfonso X of Castile,",,
adormecer,/a.doɾ.me.ˈt͡seɾ/,to fall asleep (to pass from a state of wakefulness,,
adufe,/aˈdu.fe/,(music) a traditional square tambourine of Moorish,,
aflicão,/a.fli.ˈkão/,"Alternative form of *africão
13th century C.E.,  Alfonso X of Castile,  Cantigas de Santa Maria, , E codex, cantiga 385 (facsimile):
os mouros deſpanne os aflicaos.
the Moors of Iberia and of Africa",,
agora,/aˈɡo.ɾa/,"now, 13th century, Cancioneiro da Ajuda, Estêvão Travanca,",,
agosto,/aˈɡos̺to/,"August, 13th century C.E.,  Alfonso X of Castile, ",,
agoyro,/a.ˈɡoj.ɾo/,"omen, augury",,
agua,/ˈa.ɡwa/,"water, 13th century C.E.,  Alfonso X of Castile,  Cantigas",,
aguyon,/aɡiˈõ/,"north wind, north (compass point)",,
ajudar,/a.d͡ʒu.ˈdaɾ/,"to help, 13th century C.E.,  Alfonso X of Castile,",,
Alemanna,/a.le.ˈma.ɲa/,"Germany (the land of the German people), 13th century",,
allur,/a.ˈʎuɾ/,"somewhere else, elsewhere, 13th century C.E.,  Alfonso",,
alma,/ˈal̪.ma/,"soul, 13th century C.E.,  Alfonso X of Castile,  Cantigas",,
altar,/al.ˈtaɾ/,"altar (flat structure used for religious rites), 13th",,
alva,/ˈal̪.βa/,"alb (long white robe worn by priests and other ministers),",,
alçar,/al.ˈt͡saɾ/,to lift; to raise,,
amarelo,/amaˈɾɛlo/,"yellow, 13th century C.E.,  Alfonso X of Castile, ",,
amigo,/aˈmiɡo/,"friend, 13th century C.E.,  Alfonso X of Castile, ",,
amor,/aˈmoɾ/,"love, 13th century C.E.,  Alfonso X of Castile,  Cantigas",,
amẽaça,/a.mẽ.ˈa.t͡sa/,Alternative form of mẽaça,,
amẽaçar,/a.mẽ.a.ˈt͡saɾ/,"to threaten, 13th century C.E.,  Alfonso X of Castile,",,
ancho,/ˈã.t͡ʃo/,"broad, wide, ample, 13th century C.E.,  Alfonso X of",,
andar,/ã.ˈdaɾ/,to walk,,
andorỹa,/an.do.ˈɾĩ.a/,"swallow (bird), 13th century C.E.,  Alfonso X of Castile,",,
angeo,/ˈã.d͡ʒe.o/,"angel, 13th century C.E.,  Alfonso X of Castile,  Cantigas",,
anssar,/ˈã.saɾ/,"goose, 13th century C.E.,  Alfonso X of Castile,  Cantigas",,
aollar,/a.o.ˈʎaɾ/,"to evil-eye (to cast an evil eye upon someone or something),",,
ar,/ˈaɾ/,"also, 13th century C.E.,  Alfonso X of Castile,  Cantigas",,
aranna,/a.ˈɾa.ɲa/,"spider (any arachnid of the order Araneae), 13th century",,
archangeo,/aɾ.ˈkã.d͡ʒe.o/,archangel,,
arder,/aɾ.ˈdeɾ/,"to burn, 13th century C.E.,  Alfonso X of Castile,",,
arma,/ˈaɾ.ma/,weapon; arm,,
Armenia,/aɾmeˈnia/,"Armenia (the land of the Armenian people)
13th century C.E.,  Alfonso X of Castile,  Cantigas de Santa Maria, , E codex, cantiga 115 (facsimile):
Contaria uos de Dur— as mui grandes toꝛmẽtas que ſofreu no mar de Sur o Moço . ca trezentas . millas coꝛreu ſen nenllur folgar . ou quatrocentas . ou q̇netas . ſen ancoꝛa deitarẽ nẽ chegaren . a tr̄a darmenia
I could hardly tell you about how much the boy suffered in the South Sea, [he] who traversed three hundred miles without ever resting, or four hundred or five hundred, before dropping anchor and reaching the land of Armenia.",,
arqueiro,/aɾ.ˈkej.ɾo/,archer; bowman,,
arvol,/ˈaɾ.βol/,Alternative form of arvor,,
arvor,/ˈaɾ.βoɾ/,"tree, 13th century C.E.,  Alfonso X of Castile,  Cantigas",,
arẽa,/a.ˈɾẽ.a/,sand,,
astroso,/as̺ˈtɾozo/,"ill-starred, unfortunate, 1525-1526, Cancioneiro da",,
