L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
'n,/n/,"(colloquial) Alternative form of ein (“a, an”), (colloquial)",,
'n,/n/,"(colloquial) short for denn (used for general emphasis),",,
'n,/n/,"(colloquial) short for denn (used for general emphasis),",,
'ne,/nə/,"(colloquial) Contraction of eine (“a, an”).",,
'nem,/nəm/,"(colloquial) Contraction of einem (“a, an”); dative masculine/neuter singular of 'n",,
'nen,/nən/,"(colloquial) Contraction of einen (“a, an”); accusative masculine singular of 'n",,
'ner,/nɐ/,"(colloquial) Contraction of einer (“a, an”).",,
-'sch,/ʃ/,A suffix attached to names to produce eponymous adjectives:,,
'türlich,/ˈtyːɐ̯lɪç/,"(informal) for sure (affirmative interjection), 2000,",,
10-Flächner,/ˈtseːnˌflɛçnɐ/,Alternative spelling of Zehnflächner,,
4-Aminobutansäure,/fiːɐ̯ʔaˌmiːnobuːˈtanzɔɪ̯ʁə/,gamma-aminobutyric acid (GABA),,
4-Flächner,/ˈfiːɐ̯ˌflɛçnɐ/,Alternative spelling of Vierflächner,,
4-Hydroxybutansäure,/fiːɐ̯ˌhydʁɔksyːbuːˈtanzɔɪ̯ʁə/,"gamma-hydroxybutyric acid, 4-hydroxybutanoic acid, or GHB",,
5-Flächner,/ˈfynfˌflɛçnɐ/,Alternative spelling of Fünfflächner,,
5-Hydroxytryptamin,/fʏnfˌhydʁɔksyːtʁʏptaˈmiːn/,"5-hydroxytryptamine, serotonin, or 5-HT",,
6-Flächner,/ˈzɛksˌflɛçnɐ/,Alternative spelling of Sechsflächner,,
7-Flächner,/ˈziːbənˌflɛçnɐ/,Alternative spelling of Siebenflächner,,
8-Flächner,/ˈaxtˌflɛçnɐ/,Alternative spelling of Achtflächner,,
9-Flächner,/ˈnɔɪ̯nˌflɛçnɐ/,Alternative spelling of Neunflächner,,
@,/ɛt/,"(informal, Internet) regarding
(The addition of quotations indicative of this usage is being sought:)",,
à,/aː/,"(business, perhaps somewhat dated) at (a specified",,
Ä,/ɛː/,A letter used in German spelling: an umlauted version,,
a-,/a/,"a- (not, without, opposite of)",,
A-a,/ˈʔa.ʔa/,"(childish or parentese) feces, poop, A-a machen ― (to)",,
A-dur,/ˈʔaːduːɐ̯/,A major,,
a-Schwa,/ˈaˌʃvaː/,"a-schwa [ɐ], Synonym: Tiefschwa",,
Aach,[aːχ],any of several rivers in Germany,,
Aachen,/ˈaːxən/,"Aachen (a city in North Rhine-Westphalia, Germany)",,
Aachener,/ˈaːxənɐ/,a native or inhabitant of Aachen,,
Aachener,/ˈaːxənɐ/,(relational) Aachen,,
Aachenerin,/ˈaːxənəʁɪn/,A native or inhabitant of Aachen (female),,
AAD,/aːʔaːˈdeː/,AAD,,
Aak,[aːk],(nautical) A flat cargo vessel used on the Lower Rhine,,
Aake,/ˈaːkə/,Alternative form of Aak,,
Aake,/ˈaːkə/,nominative/accusative/genitive plural of Aak,,
Aake,/ˈaːkə/,nominative/accusative/genitive plural of Aak,,
Aakerbeere,/ˈaːkɐˌbeːʁə/,arctic raspberry,,
Aal,/aːl/,"eel, Er ist so glatt wie ein Aal.He's as slippery as",āl,ˈæl
aalähnlich,/ˈaːlˌɛːnlɪç/,eellike,,
aalartig,/ˈaːlʔaːɐ̯tɪç/,eellike,,
Aalauge,/ˈaːlˌaʊ̯ɡə/,"eye of an eel, (vulgar, offensive) idiot, asshole",,
Aalbeere,[ˈaːlˌbeːrə],"blackcurrant, Synonyms: schwarze Johannisbeere, Wendelbeere,",,
aalen,[ˈaːlən],"to hunt eels, to go on an eel-hunt, Bis ans Ende seiner",,
Aalen,/ˈaːlən/,"Aalen (a city in Baden-Württemberg, Germany)",,
Aalen,/ˈaːlən/,gerund of aalen,,
Aalen,/ˈaːlən/,dative masculine plural of Aal,,
Aalfang,/ˈɑːlˌfaŋ(k)/,"(uncountable) the catching of eels, eel fishing, (countable)",,
Aalfell,/ˈaːlˌfɛl/,"(dated, rare) eelskin",,
Aalfett,/ˈaːlˌfɛt/,eel fat,,
Aalfischer,/ˈaːlˌfɪʃɐ/,"eeler, eel fisher",,
aalförmig,/ˈaːlˌfœʁmɪç/,anguilliform,,
aalglatt,/ˌaːlˈɡlat/,"(literally, fairly rare) very slippery, like the skin",,
